LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
7001503,Intramural Sports Fields,"5370: Fitness, recreational sports, gym, or athletic club",4200: School or university buildings,georgeae,09/07/2007 02:50:15 PM,"(37.5718630499999, -77.5387239399999)",complete
7000523,INTERSTATE BUSINESS PARK,,,georgeae,09/07/2007 02:50:09 PM,"(37.5847597699999, -77.4723162199999)",needs research
7000573,Hovey Field,5120: Sports team or club,4220: College or university facility,georgeae,09/07/2007 02:50:04 PM,"(37.56101016, -77.4489516799999)",complete
7000562,Immanuel Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:49:58 PM,"(37.5657136, -77.48151464)",complete
7000198,Huguenot Road United Methodist,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:49:22 PM,"(37.5347700499999, -77.5911357699999)",complete
7000570,Hood Temple AME Zion Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:34:14 PM,"(37.54793603, -77.4410066699999)",complete
7000212,Holy Rosary Catholic Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:33:27 PM,"(37.53539853, -77.40336098)",complete
7000461,Word for Living Ministries Church of God in Christ,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:30:59 PM,"(37.5702417199999, -77.41926621)",complete
7000459,Highland Park Methodist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:30:37 PM,"(37.5703090399999, -77.4176402399999)",complete
7000439,Hermitage Business Park,3000: Manufacturing and wholesale trade,,georgeae,09/07/2007 02:30:27 PM,"(37.5642161099999, -77.45857205)",complete
7000221,Greater Brook Road Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/07/2007 02:30:13 PM,"(37.5193967399999, -77.4624473599999)",complete
