OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
571,201402170353,02/17/2014,1735,MONROE ST,5,Feet,S,GRACE ST,11788409,3724374,"(37.546859, -77.446241)"
539,201310110296,10/11/2013,1527,3RD ST,65,Feet,S,FRANKLIN ST,11789978,3722731,"(37.542299, -77.440893)"
333,201111110186,11/11/2011,830,CREIGHTON ROAD,300,Feet,S,WALCOTT PL,11802446,3724098,"(37.545661, -77.397838)"
450,201211020464,11/02/2012,1727,FOREST HILL AVE,None,None,None,PINEWAY DR,11771382,3718333,"(37.530777, -77.505189)"
427,201208100233,08/10/2012,1025,STUART AVE,None,None,None,THOMPSON ST,11777007,3729590,"(37.561527, -77.485375)"
451,201211030062,11/03/2012,119,ROBINSON ST,None,None,None,STUART AVE,11781259,3727745,"(37.556334, -77.470776)"
660,201411050170,11/05/2014,1056,BROAD ST,None,None,None,HARRISON ST,11786628,3726167,"(37.551838, -77.452316)"
121,201002020180,02/02/2010,1215,BELT BLVD,None,None,None,TERMINAL AVE,11783801,3700581,"(37.481658, -77.463036)"
28,200905050326,05/05/2009,1338,1ST ST,None,None,None,LEIGH ST,11790696,3724806,"(37.547975, -77.438337)"
288,201108070385,08/07/2011,2011,DARBYTOWN ROAD,50,Feet,W,BLUE RIDGE AVE,11803645,3712196,"(37.512937, -77.394183)"
584,201403150102,03/15/2014,213,HULL ST,None,None,None,2ND ST,11791428,3716812,"(37.525999, -77.436123)"
442,201210090225,10/09/2012,1125,BROOKLAND PARK BLVD,None,None,None,WELLINGTON ST,11794202,3733237,"(37.57102, -77.425913)"
523,201308280422,08/28/2013,1636,ROSECREST AVE,20,Feet,N,HARWOOD ST,11792424,3708851,"(37.504106, -77.432998)"
112,200912230283,12/23/2009,1339,BROAD ST,None,None,S,3RD ST,11790450,3723364,"(37.544023, -77.439241)"
336,201111190625,11/19/2011,1905,CAMPUS DR,None,None,None,BOATWRIGHT DR,11762459,3736921,"(37.582078, -77.535304)"
378,201202280440,02/28/2012,1648,ST JOHN ST,138,Feet,S,HILL ST,11791547,3727031,"(37.554059, -77.435315)"
463,201212180429,12/18/2012,1705,BROAD ST,50,Feet,E,2ND ST,11790184,3723559,"(37.544567, -77.440151)"
168,201006280148,06/28/2010,827,CLAY ST,None,None,None,7TH ST,0,0,"(21.84882, -111.898764)"
83,200910270064,10/27/2009,815,SEMMES AVE,None,None,None,26TH ST,11784540,3714428,"(37.519663, -77.459964)"
477,201302130341,02/13/2013,1630,LOMBARDY ST,None,None,None,LEIGH ST,11786270,3728043,"(37.557001, -77.453479)"
325,201110280730,10/28/2011,2159,5TH ST,200,Feet,S,BROAD ST,11790972,3722978,"(37.542947, -77.437456)"
360,201201180203,01/18/2012,1010,22ND ST,150,Feet,S,DINWIDDIE AVE,11788453,3710814,"(37.509619, -77.446612)"
607,201405190363,05/19/2014,1622,MAIN ST,None,None,None,BELVIDERE ST,11787621,3723968,"(37.545769, -77.448975)"
73,200909300168,09/30/2009,805,14TH ST,None,None,None,FRANKLIN ST,11792788,3720546,"(37.536212, -77.431287)"
276,201107060420,07/06/2011,1448,WESTOWER DR,5,Feet,E,HUNTLAND ROAD,11770328,3715712,"(37.523609, -77.508919)"
420,201206290065,06/29/2012,131,23RD ST,None,None,None,PHAUP ST,11800139,3725825,"(37.550478, -77.405726)"
491,201304110269,04/08/2013,2230,JAHNKE ROAD,None,Feet,N,NEWELL ROAD,11770277,3714438,"(37.520112, -77.509141)"
102,200911300411,11/30/2009,1520,GROVE AVE,50,Feet,E,HARRISON ST,11785779,3724947,"(37.548513, -77.455291)"
312,201110060737,10/06/2011,2200,OLD HOPKINS ROAD,200,Feet,N,HOPKINS ROAD,11783289,3693584,"(37.462458, -77.465065)"
440,201210030263,10/03/2012,1320,CHAMBERLAYNE AVE,None,None,None,SCHOOL ST,11789438,3728944,"(37.559378, -77.442516)"
430,201208250570,08/25/2012,2129,CARY ST,None,None,None,LAUREL ST,11786865,3723495,"(37.544493, -77.4516)"
379,201203020422,03/02/2012,1510,DOCK ST,10,Feet,W,15TH ST,11792596,3719343,"(37.532914, -77.431996)"
67,200909220454,09/22/2009,1612,18TH ST,None,None,None,BROAD ST,11794571,3720309,"(37.535505, -77.425148)"
271,201105300125,05/30/2011,210,18TH ST,30,Feet,N,MAIN ST,11793858,3719355,"(37.532908, -77.427644)"
301,201109090627,09/09/2011,1744,700 W CLAY ST,None,None,None,None,11788478,3725830,"(37.550856, -77.445947)"
603,201405160274,05/16/2014,1305,CREIGHTON ROAD,25,Feet,S,NINE MILE ROAD,11801621,3722691,"(37.541824, -77.40074)"
211,201010310435,10/31/2010,1315,MECHANICSVILLE TPKE,100,Feet,S,WHITCOMB ST,11798426,3726936,"(37.553583, -77.41159)"
141,201003240618,03/24/2010,2036,729 W CARY ST,None,None,None,None,11786929,3723455,"(37.544381, -77.451381)"
661,201411050270,11/05/2014,1425,4TH ST,None,None,None,BROAD ST,11790710,3723171,"(37.543485, -77.438352)"
330,201111080417,11/08/2011,1607,SCHOOL ST,None,None,None,CHAMBERLAYNE AVE,11789438,3728944,"(37.559378, -77.442516)"
300,201109090193,09/09/2011,823,8TH ST,75,Feet,N,LEIGH ST,11792521,3723427,"(37.544132, -77.432096)"
649,201410090352,10/09/2014,1559,MECHANICSVILLE TPKE,0,Miles,W,WHITCOMB ST,11798426,3726936,"(37.553583, -77.41159)"
31,200905060485,05/06/2009,1630,ST PAUL ST,50,Feet,N,W CHARITY ST,11790670,3726342,"(37.552194, -77.438367)"
171,201007060661,07/06/2010,2102,3RD ST,None,None,None,BROAD ST,11790450,3723364,"(37.544023, -77.439241)"
284,201107290332,07/29/2011,1109,BROAD ST,98,Feet,W,RYLAND ST,11786200,3726480,"(37.55271, -77.45378)"
522,201308260550,08/26/2013,2045,MOSS SIDE AVE,None,None,None,NORTH AVE,11789367,3738851,"(37.586587, -77.442378)"
513,201307140576,07/14/2013,2205,OAKLAND AVE,500,Feet,E,COLUMBIA ST,11789009,3706194,"(37.496915, -77.444873)"
630,201408250080,08/25/2014,520,HERMITAGE ROAD,10,Feet,E,BRYAN PARK AVE,11782235,3743234,"(37.59884, -77.466824)"
50,200907170387,07/17/2009,1226,3RD ST,None,None,None,GRACE ST,11790210,3723048,"(37.543163, -77.440081)"
702,201504110536,04/11/2015,2000,MIDLOTHIAN TPKE,500,Feet,W,WEAVER CT,11779286,3710737,"(37.509684, -77.478217)"
76,200910060500,10/06/2009,1815,FOREST HILL AVE,None,None,None,SEMMES AVE,11781591,3712874,"(37.515484, -77.47019)"
309,201109290302,09/29/2011,1257,10TH ST,None,None,None,MARSHALL ST,11792514,3722325,"(37.541106, -77.432163)"
241,201102180888,02/18/2011,2235,BELVIDERE ST,30,Feet,N,MARSHALL ST,11788311,3725419,"(37.549732, -77.446539)"
485,201303190558,03/19/2013,2200,MAIN ST,None,None,None,MEADOW ST,11782713,3725168,"(37.549213, -77.465857)"
120,201001300411,01/30/2010,1709,STRATFORD ROAD,None,None,None,FOREST HILL AVE,11759436,3718601,"(37.531851, -77.546374)"
105,200912020569,12/02/2009,1907,BOULEVARD,None,None,None,CARY ST,11779699,3725994,"(37.551571, -77.476222)"
386,201203100329,03/10/2012,1328,2ND ST,None,None,None,BROAD ST,11790184,3723559,"(37.544567, -77.440151)"
165,201006150366,06/15/2010,1323,MARSHALL ST,None,None,None,BOWE ST,11785964,3727145,"(37.554544, -77.454569)"
52,200907220603,07/22/2009,1813,1ST ST,75,Feet,N,HILL ST,11792173,3726824,"(37.553472, -77.433164)"
237,201101270090,01/27/2011,740,MIDLOTHIAN TPKE,None,None,None,LABROOK DR,11770197,3708649,"(37.504216, -77.509626)"
202,201010020316,10/02/2010,1055,MECHANICSVILLE TPKE,60,Feet,S,WHITCOMB ST,11798426,3726936,"(37.553583, -77.41159)"
92,200911110378,11/11/2009,1650,MARSHALL ST,15,Feet,E,COLLEGE ST,11793426,3721663,"(37.539259, -77.429043)"
433,201208300125,08/30/2012,840,CHAMBERLAYNE AVE,100,Feet,S,WESTWOOD AVE,11788289,3735761,"(37.578134, -77.446217)"
670,201412160411,12/16/2014,1825,MIDLOTHIAN TPKE,150,Feet,W,CARNATION ST,11767966,3708122,"(37.502833, -77.517335)"
557,201312230456,12/23/2013,2016,HULL STREET ROAD,100,Feet,E,BRYCE LANE,11774083,3702345,"(37.486791, -77.496461)"
320,201110140479,10/14/2011,1625,LEIGH ST,None,None,None,11TH ST,11793349,3722926,"(37.54273, -77.42926)"
354,201201060778,01/06/2012,2240,WICKHAM ST,None,None,None,CHAMBERLAYNE AVE,11789045,3730597,"(37.56393, -77.443808)"
572,201402180260,02/18/2014,1340,1ST ST,None,None,None,BROAD ST,11789923,3723751,"(37.545102, -77.441044)"
683,201501270301,01/27/2015,1639,BOWE ST,100,Feet,N,BROAD ST,11785729,3726825,"(37.553672, -77.455391)"
176,201007200304,07/20/2010,1150,9TH ST,None,None,None,MAIN ST,11791323,3721259,"(37.538215, -77.436312)"
468,201301020051,01/02/2013,659,14TH ST,None,None,None,MAIN ST,11792601,3720305,"(37.535556, -77.431942)"
481,201302260131,02/26/2013,943,BROAD ST,None,None,None,4TH ST,11790710,3723171,"(37.543485, -77.438352)"
666,201411240312,11/24/2014,1330,WALMSLEY BLVD,660,Feet,W,BELMONT ROAD,11776210,3696726,"(37.471298, -77.489338)"
66,200909200582,09/20/2009,1800,PILKINGTON ST,50,Feet,W,WISE ST,11786545,3713201,"(37.516233, -77.453098)"
669,201412160213,12/16/2014,1159,404 N ADAMS ST,None,None,None,None,11789698,3724595,"(37.547427, -77.441787)"
602,201405160251,05/16/2014,1150,1ST ST,102,Feet,S,CLAY ST,11790386,3724381,"(37.546818, -77.439422)"
535,201310050748,10/05/2013,2000,BELVIDERE ST,None,None,None,FRANKLIN ST,11787681,3724425,"(37.547022, -77.44875)"
448,201210240274,10/24/2012,1252,MEADOW ST,None,None,None,BROAD ST,11784210,3727939,"(37.556777, -77.460589)"
372,201202150463,02/15/2012,1630,GROVE AVE,None,None,None,GRANITE AVE,11767844,3733694,"(37.573063, -77.516838)"
626,201408150582,08/15/2014,2010,BROAD ST,None,None,None,MEADOW ST,11784210,3727939,"(37.556777, -77.460589)"
311,201110030256,10/03/2011,1055,BROAD ST,None,None,None,8TH ST,11791761,3722397,"(37.541327, -77.434757)"
262,201104150122,04/15/2011,500,BROAD ST,None,None,None,BOULEVARD,11781398,3730002,"(37.562528, -77.470211)"
178,201008060982,08/06/2010,2350,CARY ST,None,None,None,14TH ST,11792463,3719921,"(37.534505, -77.432432)"
606,201405180575,05/17/2014,2130,SHAFER ST,None,None,None,BROAD ST,11787110,3725814,"(37.550854, -77.450667)"
479,201302160216,02/16/2013,1120,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849, -77.447307)"
383,201203090329,03/09/2012,1220,PATTERSON AVE,100,Feet,E,LIBBIE AVE,11768575,3735982,"(37.579326, -77.514233)"
144,201004090735,04/09/2010,2020,30TH ST,50,Feet,N,T ST,11800326,3721389,"(37.53829, -77.405258)"
459,201212030523,12/03/2012,1935,ORCUTT LANE,20,Feet,W,CLEARFIELD ROAD,11774101,3700553,"(37.481869, -77.496465)"
68,200909230409,09/23/2009,1431,CHANTECLER AVE,93,Feet,S,HANOVER AVE,11765078,3737393,"(37.5833, -77.52625)"
438,201209240258,09/24/2012,1312,BROOKLAND PARK BLVD,45,Feet,W,HANES AVE,11791540,3733416,"(37.571594, -77.43509)"
654,201410240338,10/24/2014,1458,EDGEHILL ROAD,None,None,None,CHAMBERLAYNE AVE,11788828,3732081,"(37.568012, -77.444499)"
400,201205100132,05/10/2012,913,1400 CHAMBERLAYNE PKWY,None,None,None,None,11789507,3727622,"(37.555745, -77.442329)"
113,200912230389,12/23/2009,1635,FOREST HILL AVE,50,Feet,W,KENMORE ROAD,11761768,3719677,"(37.534741, -77.538295)"
265,201104290433,04/29/2011,1443,OVERBROOK ROAD,15,Feet,E,CHAMBERLAYNE AVE,11788952,3731230,"(37.565671, -77.444104)"
248,201103110370,03/11/2011,1304,HARRISON ST,10,Feet,S,BROAD ST,11786628,3726167,"(37.551838, -77.452316)"
296,201108300342,08/30/2011,1240,MONUMENT AVE,None,None,None,MEADOW ST,11783744,3727323,"(37.5551, -77.46222)"
599,201405070166,05/06/2014,1432,GROVE AVE,None,None,None,WOODLAWN AVE,11773708,3730492,"(37.564101, -77.496723)"
421,201207160575,07/16/2012,2200,BROAD ROCK BLVD,None,None,None,BRITANNIA ROAD,11778985,3700282,"(37.480981, -77.479644)"
631,201408260096,08/26/2014,742,CARY ST,None,None,None,5TH ST,11790041,3721712,"(37.539499, -77.440716)"
277,201107060832,07/06/2011,2325,NORTH AVE,None,None,None,OVERBROOK ROAD,11792126,3731008,"(37.564963, -77.433163)"
411,201205250355,05/25/2012,1404,LOMBARDY ST,62,Feet,N,BROAD ST,11785507,3726988,"(37.554127, -77.456151)"
376,201202170490,02/17/2012,1554,BELT BLVD,None,None,None,LORDLEY LANE,11779106,3709125,"(37.505263, -77.478897)"
16,200903230429,03/23/2009,1543,7TH ST,None,None,None,JACKSON ST,11792518,3723971,"(37.545626, -77.432085)"
422,201207210064,07/21/2012,130,MAIN ST,None,None,None,18TH ST,11793858,3719355,"(37.532908, -77.427644)"
527,201309050129,09/05/2013,815,BETHEL ST,90,Feet,W,DEFORREST ST,11797355,3727737,"(37.555817, -77.415253)"
675,201501040286,01/04/2015,1610,WARWICK AVE,None,None,None,LYNHAVEN AVE,11789888,3704912,"(37.493367, -77.441893)"
7,200902040583,02/04/2009,2052,MONUMENT AVE,None,None,None,MULBERRY ST,11781549,3728933,"(37.559587, -77.469731)"
498,201305100358,05/10/2013,1410,4500 W SEMINARY AVE,None,None,None,None,11786579,3742231,"(37.595954, -77.451869)"
123,201002110420,02/11/2010,1543,MIDLOTHIAN TPKE,None,None,None,32ND ST,11782442,3711451,"(37.511551, -77.46731)"
623,201408050076,08/05/2014,527,OVERBROOK ROAD,None,None,None,NORTH AVE,11792126,3731008,"(37.564963, -77.433163)"
185,201008210710,08/21/2010,2045,900 CHAMBERLAYNE PKWY,None,None,None,None,11789884,3726385,"(37.552337, -77.441076)"
431,201208280368,08/28/2012,1525,16TH ST,30,Feet,E,EDWARDS AVE,11790120,3711716,"(37.512045, -77.44083)"
493,201304230277,04/22/2013,1545,MONUMENT AVE,30,Feet,E,MALVERN AVE,11776635,3732540,"(37.569639, -77.486549)"
685,201502050209,02/05/2015,1100,LEIGH ST,500,Feet,W,BROOK ROAD,11789264,3725858,"(37.550909, -77.443235)"
177,201008020556,08/02/2010,1818,BURNS ST,None,None,None,DILL AVE,11797795,3733252,"(37.570948, -77.413516)"
703,201504220375,04/22/2015,1539,6TH ST,10,Feet,None,GRACE ST,11791001,3722465,"(37.541537, -77.437375)"
671,201412160442,12/16/2014,1900,COLONIAL AVE,None,None,None,CARY ST,11779301,3726165,"(37.552053, -77.477589)"
511,201307030306,07/03/2013,1437,LEIGH ST,None,None,None,11TH ST,11793349,3722926,"(37.54273, -77.42926)"
482,201302260346,02/26/2013,1933,ELLWOOD AVE,None,None,None,NANSEMOND ST,11776865,3727702,"(37.556346, -77.485935)"
589,201403310383,03/31/2014,1613,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849, -77.447307)"
99,200911230571,11/23/2009,1915,441 BELT BLVD,None,None,None,None,11780443,3708963,"(37.504778, -77.474295)"
461,201212060528,12/06/2012,1917,MAURY ST,40,Feet,None,34TH ST,11783770,3708351,"(37.502998, -77.462849)"
