OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
99,201004260417,04/26/2010,1540,MAIN ST,75,Feet,W,15TH ST,11793064,3719950,"(37.534566352, -77.430358806)"
122,201007190210,07/19/2010,1007,FOREST HILL AVE,None,None,None,FAIRLEE ROAD,11770810,3719059,"(37.532787096, -77.507135205)"
343,201303310017,03/31/2013,230,BELVIDERE ST,None,None,None,HOLLY ST,11787583,3720583,"(37.53647376, -77.449235895)"
281,201207280221,07/28/2012,925,STAPLES MILL ROAD,None,None,None,AUGUSTA AVE,11773890,3735879,"(37.578889179, -77.495896967)"
257,201204070182,04/07/2012,835,HARWOOD ST,None,None,None,COLUMBIA ST,11788806,3708533,"(37.503344207, -77.445482451)"
398,201310060588,10/06/2013,2130,OLD WARWICK ROAD,200,Feet,N,BROAD ROCK BLVD,11779131,3700707,"(37.482144104, -77.479124975)"
158,201012010542,12/01/2010,1900,23RD ST,None,None,None,W ST,11799211,3723787,"(37.544910377, -77.409007876)"
202,201107180205,07/18/2011,1017,CLOPTON ST,20,Feet,S,HULL ST,11785726,3712161,"(37.513401585, -77.455961205)"
378,201308030304,08/03/2013,1141,RADY ST,0,Miles,N,MAGNOLIA ST,11797019,3730403,"(37.563148576, -77.416306109)"
373,201307170264,07/17/2013,1240,LEIGH ST,None,None,None,BOULEVARD,11781871,3731117,"(37.565575414, -77.468537499)"
350,201304290161,04/29/2013,1036,BROAD ST,None,None,None,5TH ST,11790973,3722978,"(37.542946747, -77.437452135)"
323,201211090202,11/09/2012,1125,LEIGH ST,None,None,None,2ND ST,11790959,3724611,"(37.547431747, -77.437437025)"
355,201305170358,05/17/2013,1612,FAIRFIELD WAY,30,Feet,E,OLIVER HILL WAY,11794844,3724953,"(37.548250102, -77.424023792)"
279,201207030598,07/03/2012,2120,WINDER ST,None,None,None,ALLEN AVE,11782215,3721881,"(37.540201008, -77.467699158)"
31,200905210257,05/21/2009,1140,MECHANICSVILLE TPKE,None,None,None,MAGNOLIA ST,11799147,3728404,"(37.557591617, -77.409044582)"
109,201006030638,06/03/2010,1757,BANK ST,None,None,None,9TH ST,11791463,3721447,"(37.538727132, -77.435821696)"
474,201411030259,11/03/2014,1334,3RD ST,None,None,None,BROAD ST,11790450,3723364,"(37.544022938, -77.439240955)"
476,201411240384,11/24/2014,1525,FLOYD AVE,10,Feet,W,HARRISON ST,11785779,3724465,"(37.547189574, -77.455309048)"
285,201208050565,08/05/2012,2105,WALMSLEY BLVD,20,Feet,E,COTTRELL ROAD,11778306,3696299,"(37.470063019, -77.482131832)"
326,201211280130,11/28/2012,825,GROVE AVE,None,None,None,HAMILTON ST,11775792,3729272,"(37.560689195, -77.489577986)"
84,200911210030,11/21/2009,30,GRACE ST,50,Feet,E,STRAWBERRY ST,11782958,3728384,"(37.558037339, -77.464890782)"
146,201010140583,10/14/2010,1920,CHAMBERLAYNE AVE,None,None,None,BROOKLAND PARK BLVD,11788607,3733590,"(37.57216237, -77.445203302)"
357,201305220279,05/22/2013,1412,CHAMBERLAYNE AVE,10,Feet,S,WATKINS ST,11787144,3743571,"(37.5996169, -77.449867936)"
490,201505110338,05/11/2015,1549,BROAD ROCK BLVD,500,Feet,E,FERGUSON LANE,11778651,3699121,"(37.47780277, -77.480838129)"
12,20090310068,03/10/2009,237,GRAYLAND AVE,None,None,None,HARRISON ST,11785344,3722829,"(37.542709968, -77.456871764)"
426,201404190213,04/19/2014,1205,GROVE AVE,None,None,None,TUCKAHOE BLVD,11769230,3733114,"(37.571430916, -77.512076555)"
445,201406260120,06/26/2014,755,MEADOW ST,None,None,None,STUART AVE,11783418,3726804,"(37.553684455, -77.463363814)"
65,200909060731,09/06/2009,2251,KENSINGTON AVE,None,None,None,BELMONT AVE,11779643,3728935,"(37.559649777, -77.47630565)"
274,201206200421,06/20/2012,1930,FOREST HILL AVE,None,None,None,ROANOKE ST,11780446,3713192,"(37.516391932, -77.474125738)"
23,200904290555,04/29/2009,1730,25TH ST,None,None,None,LEIGH ST,11797138,3719879,"(37.534243766, -77.416312365)"
376,201307260173,07/26/2013,946,CHAMBERLAYNE AVE,None,None,None,WATKINS ST,11787144,3743571,"(37.5996169, -77.449867936)"
271,201206070511,06/07/2012,1810,MAIN ST,100,Feet,W,MULBERRY ST,11780195,3726262,"(37.552292679, -77.474501592)"
121,201007140556,07/14/2010,1743,BELT BLVD,500,Feet,S,BRANDON ROAD,11777096,3709955,"(37.50760174, -77.485795469)"
204,201107250146,07/25/2011,910,31ST ST,150,Feet,S,V ST,11801190,3721996,"(37.539928919, -77.40225417)"
16,200903300425,03/30/2009,1600,BROAD ST,30,Feet,W,9TH ST,11792028,3722201,"(37.540780271, -77.433843804)"
216,201109090511,09/09/2011,1559,SEMMES AVE,None,None,None,24TH ST,11785199,3714763,"(37.520563287, -77.45767902)"
66,200909090207,09/09/2009,847,W BROAD ST,None,None,None,HIGHPOINT AVE,11780069,3731253,"(37.566002808, -77.474749235)"
288,201208070520,08/07/2012,1840,CHAMBERLAYNE AVE,None,None,None,SCHOOL ST,11789438,3728944,"(37.559377977, -77.442515713)"
437,201405270537,05/27/2014,1845,CHAMBERLAYNE AVE,None,None,None,OVERBROOK ROAD,11788952,3731230,"(37.565670742, -77.444104043)"
108,201006020149,06/02/2010,829,9TH ST,None,None,None,GRACE ST,11791792,3721889,"(37.539930768, -77.434669866)"
47,200907250815,07/25/2009,2250,CANAL ST,None,None,None,14TH ST,11792434,3719788,"(37.534141049, -77.432537693)"
346,201304170554,04/17/2013,2018,FLOYD AVE,None,None,None,HARVIE ST,11785045,3724639,"(37.547689697, -77.457834071)"
293,201208200511,08/20/2012,2038,BLANTON AVE,None,None,None,FRENCH ST,11778292,3723816,"(37.545632002, -77.481156776)"
25,200905060361,05/06/2009,1445,FRANKLIN ST,10,Feet,E,FOUSHEE ST,11789200,3723307,"(37.5439049, -77.443554355)"
336,201301160197,01/16/2013,1123,LAUREL ST,None,None,None,GRACE ST,11787352,3725152,"(37.549028294, -77.449857241)"
300,201209090385,09/09/2012,1649,BELVIDERE ST,None,None,None,LEIGH ST,11788849,3726157,"(37.551742392, -77.44465505)"
400,201310170019,10/17/2013,20,ROBINSON ST,None,None,None,PARK AVE,11781629,3728397,"(37.558112971, -77.46947483)"
262,201204260177,04/26/2012,945,28TH ST,None,None,None,NINE MILE ROAD,11800277,3722432,"(37.54115538, -77.405385449)"
46,200907220551,07/22/2009,1712,BROAD ST,None,None,None,BELVIDERE ST,11788092,3725095,"(37.548849126, -77.447307031)"
